08:31:48 During your absence you trained for 12 hours.
08:31:48 Your Distance Fighting skill changed from level 133 and 5.42% to 5.72%.
08:31:48 Your Shielding skill changed from level 113 and 16.59% to 17.35%.
08:31:48 Your last visit in Tibia: 03. Jun 2026 22:37:41 CEST.
08:31:48 Today's boosted creature: Rotworm
08:31:48 Today's boosted boss: Mitmah Vanguard
08:31:48 Due to your long-term loyalty to Tibia, you currently benefit from a 30% bonus on all of your skills.
08:31:54 Poachers have slaughtered nearly all wild animals north of the Green Claw Swamp. But vengeful spirits show up there now!
08:31:54 A sandstorm travels through Darama, leading to isles full of deadly creatures inside a nightmare. Avoid the northernmost coast!
08:31:54 Nomads travel the eternal sands of Ankrahmun's desert. There must be a camp somewhere.
08:31:54 The river south of the outlaw camp is flooding. A small island there should now be reachable safely.
08:31:54 Bibby Bloodbath and her crew are roaming the lands, destroying everything in their path.
08:31:54 Adventurers have told of a Spirit Gate in the Daramian mountains. Fight the restless undead!
08:34:14 Bought 1201x great mana potion for 189758 gold.
08:34:22 Bought 1001x spectral bolt for 70070 gold.
08:34:53 Using the last adventurer's stone...
08:34:56 Switched to hotkey preset 'USP NO SCROLL'.
08:35:09 It is too early to use this again!
08:35:39 Using the last rope...
08:35:40 Using one of 1553 great mana potions...
08:35:41 Using one of 1552 great mana potions...
08:35:41 Using one of 1551 great mana potions...
08:35:43 Using one of 1551 great mana potions...
08:35:45 Using one of 1550 great mana potions...
08:35:46 Using one of 1549 great mana potions...
08:35:46 Using one of 1549 great mana potions...
08:35:47 Using one of 1548 great mana potions...
08:35:48 Using one of 1547 great mana potions...
08:35:48 Using one of 1546 great mana potions...
08:35:49 Using one of 1546 great mana potions...
08:35:50 Using one of 1545 great mana potions...
08:35:50 Using one of 1545 great mana potions...
08:35:50 Using one of 1545 great mana potions...
08:35:51 Using one of 1544 great mana potions...
08:35:54 Using one of 1543 great mana potions...
08:35:55 Using one of 1542 great mana potions...
08:35:55 Using one of 1542 great mana potions...
08:35:56 Using one of 1541 great mana potions...
08:35:56 Using one of 1540 great mana potions...
08:35:57 Using one of 1540 great mana potions...
08:35:57 Using one of 1540 great mana potions...
08:35:57 Using one of 1540 great mana potions...
08:35:57 Using one of 1539 great mana potions...
08:35:58 Using one of 1539 great mana potions...
08:35:58 Using one of 1539 great mana potions...
08:35:58 Using one of 1539 great mana potions...
08:35:58 Using one of 1538 great mana potions...
08:35:59 Using one of 1538 great mana potions...
08:35:59 Using one of 1538 great mana potions...
08:35:59 Using one of 1538 great mana potions...
08:35:59 Using one of 1537 great mana potions...
08:36:00 Using one of 1537 great mana potions...
08:36:00 Using one of 1537 great mana potions...
08:36:00 Using one of 1537 great mana potions...
08:36:00 Using one of 1537 great mana potions...
08:36:01 Using one of 1536 great mana potions...
08:36:01 Using one of 1536 great mana potions...
08:36:01 Using one of 1536 great mana potions...
08:36:02 Using the last squeezing gear of girlpower...
08:36:03 Using the last squeezing gear of girlpower...
08:36:06 Using the last rope...
08:36:08 Using the last squeezing gear of girlpower...
08:36:09 Using one of 1535 great mana potions...
08:36:14 Using one of 1534 great mana potions...
08:36:15 Using one of 1533 great mana potions...
08:36:16 Using one of 1532 great mana potions...
08:36:16 Using one of 1531 great mana potions...
08:36:17 Using one of 1531 great mana potions...
08:36:17 Using one of 1531 great mana potions...
08:36:18 Using one of 1530 great mana potions...
08:36:18 Using one of 1530 great mana potions...
08:36:18 Using one of 1530 great mana potions...
08:36:18 Using one of 1530 great mana potions...
08:36:19 Using one of 1529 great mana potions...
08:36:19 Using one of 1529 great mana potions...
08:36:19 Using one of 1529 great mana potions...
08:36:19 Using one of 1529 great mana potions...
08:36:20 Using one of 1528 great mana potions...
08:36:20 Using one of 1528 great mana potions...
08:36:20 Using one of 1528 great mana potions...
08:36:20 Using one of 1528 great mana potions...
08:36:21 Using one of 1528 great mana potions...
08:36:21 Using one of 1527 great mana potions...
08:36:21 Using one of 1527 great mana potions...
08:36:21 Using one of 1527 great mana potions...
08:36:22 Using one of 1527 great mana potions...
08:36:22 Using one of 1526 great mana potions...
08:36:22 Using one of 1526 great mana potions...
08:36:22 Using one of 1526 great mana potions...
08:36:23 Using one of 1526 great mana potions...
08:36:23 Using one of 1525 great mana potions...
08:36:23 Using one of 1525 great mana potions...
08:36:23 Using one of 1525 great mana potions...
08:36:24 Using one of 1524 great mana potions...
08:36:24 Using one of 1524 great mana potions...
08:36:24 Using one of 1524 great mana potions...
08:36:26 Using one of 1523 great mana potions...
08:36:27 Using one of 1523 great mana potions...
08:36:27 Using one of 1522 great mana potions...
08:36:28 Using one of 1522 great mana potions...
08:36:28 Using one of 1522 great mana potions...
08:36:28 Using one of 1521 great mana potions...
08:36:28 Using one of 1521 great mana potions...
08:36:29 Using one of 1521 great mana potions...
